state_fipcode,county_lookup,county_fipcode,city_lookup,city_fipcode
42,CENTRE,C027,AARONSBURG,0005
13,WILCOX,C315,ABBEVILLE,0010
28,LAFAYETTE,C071,ABBEVILLE,0005
45,ABBEVILLE,C001,ABBEVILLE,0010
01,HENRY,C067,ABBEVILLE,0010
22,VERMILION,C113,ABBEVILLE,0010
23,PISCATAQUIS,C021,ABBOT VILLAGE,0001
55,CLARK,C019,ABBOTSFORD,0010
55,MARATHON,C073,ABBOTSFORD,0010
48,HILL,C217,ABBOTT,0010
05,SCOTT,C127,ABBOTT,0005
37,BLADEN,C017,ABBOTTSBURG,0015
42,ADAMS,C001,ABBOTTSTOWN,0010
20,RENO,C155,ABBYVILLE,0010
24,ST. MARY'S,C037,ABELL,0005
38,RICHLAND,C077,ABERCROMBIE,0010
28,MONROE,C095,ABERDEEN,0010
34,MONMOUTH,C025,ABERDEEN,0008
46,BROWN,C013,ABERDEEN,0010
21,BUTLER,C031,ABERDEEN,0005
37,MOORE,C125,ABERDEEN,0010
53,GRAYS HARBOR,C027,ABERDEEN,0010
39,BROWN,C015,ABERDEEN,0010
24,HARFORD,C025,ABERDEEN,0010
16,BINGHAM,C011,ABERDEEN,0010
24,HARFORD,C025,ABERDEEN PROV GRND,0015
01,TUSCALOOSA,C125,ABERNANT,0012
48,HALE,C189,ABERNATHY,0020
48,LUBBOCK,C303,ABERNATHY,0020
31,BUTLER,C023,ABIE,0010
48,JONES,C253,ABILENE,0030
20,DICKINSON,C041,ABILENE,0020
48,TAYLOR,C441,ABILENE,0030
24,HARFORD,C025,ABINGDON,0017
51,WASHINGTON,C191,ABINGDON,0010
17,KNOX,C095,ABINGDON,0010
18,WAYNE,C177,ABINGTON,0002
42,MONTGOMERY,C091,ABINGTON,0015
25,PLYMOUTH,C023,ABINGTON,0002
09,WINDHAM,C015,ABINGTON,0003
35,RIO ARRIBA,C039,ABIQUIU,0003
22,ST TAMMANY,C103,ABITA SPRINGS,0020
35,TORRANCE,C057,ABO,0002
18,ALLEN,C003,ABOITE,0003
54,RALEIGH,C081,ABRAHAM,0008
55,OCONTO,C083,ABRAMS,0015
38,CASS,C017,ABSARAKA,0082
30,STILLWATER,C095,ABSAROKEE,0003
34,ATLANTIC,C001,ABSECON,0010
26,OAKLAND,C125,ABURN HILLS,0208
46,CHARLES MIX,C023,ACADEMY,0013
48,HUDSPETH,C229,ACALA,0023
06,SAN JOAQUIN,C077,ACAMPO,0001
24,GARRETT,C023,ACCIDENT,0020
24,PRINCE GEORGE'S,C033,ACCOKEEK,0021
51,ACCOMACK,C001,ACCOMAC,0020
36,ULSTER,C111,ACCORD,0005
51,FAIRFAX,C600,ACCOTINK,0025
51,FAIRFAX,C059,ACCOTINK,0025
54,LOGAN,C045,ACCOVILLE,0010
48,POLK,C373,ACE,0025
16,MINIDOKA,C067,ACEQUIA,0011
40,BRYAN,C013,ACHILLE,0010
51,GLOUCESTER,C073,ACHILLES,0026
48,DAWSON,C115,ACKERLY,0029
28,CHOCTAW,C019,ACKERMAN,0020
19,HARDIN,C083,ACKLEY,0010
19,FRANKLIN,C069,ACKLEY,0010
19,WARREN,C181,ACKWORTH,0020
01,ST CLAIR,C115,ACMAR,0015
42,WESTMORELAND,C129,ACME,0017
53,WHATCOM,C073,ACME,0012
56,SHERIDAN,C033,ACME,0003
37,COLUMBUS,C047,ACME,0020
22,CONCORDIA,C029,ACME,0025
26,GRAND TRAVERSE,C055,ACME,0005
25,BRISTOL,C005,ACOAXET,0004
35,CIBOLA,C006,ACOMA,0004
35,CIBOLA,C006,ACOMITA,0005
42,SOMERSET,C111,ACOSTA,0018
36,GREENE,C039,ACRA,0008
30,YELLOWSTONE,C111,ACTON,0004
06,LOS ANGELES,C037,ACTON,0002
25,MIDDLESEX,C017,ACTON,0005
18,MARION,C097,ACTON,0005
23,YORK,C031,ACTON,0002
48,HOOD,C221,ACTON,0034
47,MCNAIRY,C109,ACTOR HILL,0002
25,BRISTOL,C005,ACUSHNET,0007
33,SULLIVAN,C019,ACWORTH,0006
13,COBB,C067,ACWORTH,0020
27,NORMAN,C107,ADA,0010
39,HARDIN,C065,ADA,0020
26,KENT,C081,ADA,0006
40,PONTOTOC,C123,ADA,0020
55,SHEBOYGAN,C117,ADA,0019
20,OTTAWA,C143,ADA,0027
42,FAYETTE,C051,ADAH,0020
17,MCDONOUGH,C109,ADAIR,0015
19,GUTHRIE,C077,ADAIR,0030
40,MAYES,C097,ADAIR,0030
47,MADISON,C113,ADAIR,0004
19,ADAIR,C001,ADAIR,0030
13,BARTOW,C015,ADAIRSVILLE,0030
21,LOGAN,C141,ADAIRVILLE,0010
02,ALEUTIANS WEST,C016,ADAK STATION,0006
50,WASHINGTON,C023,"ADAMANT, CALAIS",0003
50,WASHINGTON,C023,"ADAMANT, E. MONTPELIER",0001
41,UMATILLA,C059,ADAMS,0010
21,LAWRENCE,C127,ADAMS,0012
55,ADAMS,C001,ADAMS,0020
36,JEFFERSON,C045,ADAMS,0010
38,WALSH,C099,ADAMS,0020
40,TEXAS,C139,ADAMS,0032
31,GAGE,C067,ADAMS,0020
25,BERKSHIRE,C003,ADAMS,0010
27,MOWER,C099,ADAMS,0020
47,ROBERTSON,C147,ADAMS,0005
36,MONROE,C055,ADAMS BASIN,0011
36,JEFFERSON,C045,ADAMS CENTER,0012
08,ADAMS,C001,ADAMS CITY,0005
45,CHARLESTON,C019,ADAMS RUN,0015
42,WESTMORELAND,C129,ADAMSBURG,0025
40,PITTSBURG,C121,ADAMSON,0033
34,OCEAN,C029,ADAMSTON,0015
24,FREDERICK,C021,ADAMSTOWN,0019
42,BERKS,C011,ADAMSTOWN,0030
42,LANCASTER,C071,ADAMSTOWN,0030
47,MCNAIRY,C109,ADAMSVILLE,0010
39,MUSKINGUM,C119,ADAMSVILLE,0030
48,LAMPASAS,C281,ADAMSVILLE,0028
01,JEFFERSON,C073,ADAMSVILLE,0020
26,CASS,C027,ADAMSVILLE,0007
44,NEWPORT,C005,ADAMSVILLE,0001
42,CRAWFORD,C039,ADAMSVILLE,0031
39,RICHLAND,C139,ADARIO,0032
48,HARRIS,C201,ADDICKS,0032
17,WASHINGTON,C189,ADDIEVILLE,0018
40,JEFFERSON,C067,ADDINGTON,0040
22,WEST BATON ROUGE,C121,ADDIS,0030
50,ADDISON,C001,ADDISON,0002
26,LENAWEE,C091,ADDISON,0010
17,DU PAGE,C043,ADDISON,0020
42,SOMERSET,C111,ADDISON,0033
36,STEUBEN,C101,ADDISON,0020
01,WINSTON,C133,ADDISON,0030
21,BRECKINRIDGE,C027,ADDISON,0015
23,WASHINGTON,C029,ADDISON,0003
39,GALLIA,C053,ADDISON,0035
48,DALLAS,C113,ADDISON,0031
37,MOORE,C125,ADDOR,0030
53,STEVENS,C065,ADDY,0015
39,HAMILTON,C061,ADDYSTON,0040
18,NEWTON,C111,ADE,0007
13,COOK,C075,ADEL,0040
41,LAKE,C037,ADEL,0011
19,DALLAS,C049,ADEL,0040
06,SAN BERNARDINO,C071,ADELANTO,0003
17,OGLE,C141,ADELINE,0030
55,SHEBOYGAN,C117,ADELL,0030
24,PRINCE GEORGE'S,C033,ADELPHI,0022
39,ROSS,C141,ADELPHI,0050
34,MONMOUTH,C025,ADELPHIA,0016
39,JEFFERSON,C081,ADENA,0060
01,JEFFERSON,C073,ADGER,0035
06,MODOC,C049,ADIN,0004
36,WARREN,C113,ADIRONDACK,0022
48,BEXAR,C029,ADKINS,0033
20,LYON,C111,ADMIRE,0030
53,LEWIS,C041,ADNA,0017
27,ST LOUIS,C137,ADOLPH,0026
21,ALLEN,C003,ADOLPHUS,0019
05,PERRY,C105,ADONA,0010
42,ARMSTRONG,C005,ADRIAN,0034
13,JOHNSON,C167,ADRIAN,0050
26,LENAWEE,C091,ADRIAN,0020
13,EMANUEL,C107,ADRIAN,0050
38,LA MOURE,C045,ADRIAN,0022
27,NOBLES,C105,ADRIAN,0030
29,BATES,C013,ADRIAN,0010
48,OLDHAM,C359,ADRIAN,0035
41,MALHEUR,C045,ADRIAN,0012
17,HANCOCK,C067,ADRIAN,0032
54,UPSHUR,C097,ADRIAN,0015
39,SENECA,C147,ADRIAN,0064
18,BOONE,C011,ADVANCE,0010
37,DAVIE,C059,ADVANCE,0040
