state_name,state_code,state_fipcode,county_name,county_fipcode,city_name,city_fipcode,fips_five,fips_nine,multi_county_flag,county_count,county_rank
ALABAMA,AL,01,AUTAUGA,C001,AUTAUGAVILLE,0220,01001,010010220,False,1,1
ALABAMA,AL,01,AUTAUGA,C001,BILLINGSLEY,0340,01001,010010340,False,1,1
ALABAMA,AL,01,AUTAUGA,C001,BOOTH,0425,01001,010010425,False,1,1
ALABAMA,AL,01,AUTAUGA,C001,JONES,1796,01001,010011796,False,1,1
ALABAMA,AL,01,AUTAUGA,C001,MARBURY,2002,01001,010012002,False,1,1
ALABAMA,AL,01,AUTAUGA,C001,PRATTVILLE,2540,01001,010012540,False,1,1
ALABAMA,AL,01,BALDWIN,C003,BAY MINETTE,0240,01003,010030240,False,1,1
ALABAMA,AL,01,BALDWIN,C003,BON SECOUR,0423,01003,010030423,False,1,1
ALABAMA,AL,01,BALDWIN,C003,DAPHNE,0860,01003,010030860,False,1,1
ALABAMA,AL,01,BALDWIN,C003,ELBERTA,1011,01003,010031011,False,1,1
ALABAMA,AL,01,BALDWIN,C003,FAIRHOPE,1120,01003,010031120,False,1,1
ALABAMA,AL,01,BALDWIN,C003,FOLEY,1210,01003,010031210,False,1,1
ALABAMA,AL,01,BALDWIN,C003,FORT MORGAN,1228,01003,010031228,False,1,1
ALABAMA,AL,01,BALDWIN,C003,GULF SHORES,1493,01003,010031493,False,1,1
ALABAMA,AL,01,BALDWIN,C003,LILLIAN,1868,01003,010031868,False,1,1
ALABAMA,AL,01,BALDWIN,C003,LITTLE RIVER,1912,01003,010031912,False,1,1
ALABAMA,AL,01,BALDWIN,C003,LOXLEY,1943,01003,010031943,False,1,1
ALABAMA,AL,01,BALDWIN,C003,MAGNOLIA SPRINGS,1985,01003,010031985,False,1,1
ALABAMA,AL,01,BALDWIN,C003,MALBIS,1988,01003,010031988,False,1,1
ALABAMA,AL,01,BALDWIN,C003,MONTROSE,2135,01003,010032135,False,1,1
ALABAMA,AL,01,BALDWIN,C003,ORANGE BEACH,2355,01003,010032355,False,1,1
ALABAMA,AL,01,BALDWIN,C003,PERDIDO,2425,01003,010032425,False,1,1
ALABAMA,AL,01,BALDWIN,C003,POINT CLEAR,2515,01003,010032515,False,1,1
ALABAMA,AL,01,BALDWIN,C003,ROBERTSDALE,2650,01003,010032650,False,1,1
ALABAMA,AL,01,BALDWIN,C003,SEMINOLE,2763,01003,010032763,False,1,1
ALABAMA,AL,01,BALDWIN,C003,SILVERHILL,2800,01003,010032800,False,1,1
ALABAMA,AL,01,BALDWIN,C003,SPANISH FORT,2823,01003,010032823,False,1,1
ALABAMA,AL,01,BALDWIN,C003,STAPLETON,2837,01003,010032837,False,1,1
ALABAMA,AL,01,BALDWIN,C003,STOCKTON,2855,01003,010032855,False,1,1
ALABAMA,AL,01,BALDWIN,C003,SUMMERDALE,2890,01003,010032890,False,1,1
ALABAMA,AL,01,BARBOUR,C005,BAKER HILL,0227,01005,010050227,False,1,1
ALABAMA,AL,01,BARBOUR,C005,BLUE SPRINGS,0390,01005,010050390,False,1,1
ALABAMA,AL,01,BARBOUR,C005,CLAYTON,0710,01005,010050710,False,1,1
ALABAMA,AL,01,BARBOUR,C005,CLIO,0720,01005,010050720,False,1,1
ALABAMA,AL,01,BARBOUR,C005,COMER,0774,01005,010050774,False,1,1
