report_id,occurred_on,city,state,country,shape,summary,reported_on,has_media,explanation,report_link
146179,05/19/2019 21:35,McDonough,GA,USA,Light,Very bright light moving northeast over our home. The object did not have any flashing lights and was ten times brighter than Polaris.,05/20/2019,N,,https://nuforc.org/sighting/?id=146179
146203,05/19/2019 21:35,McDonough,GA,USA,Light,Very bright light moving NE over our home.  The object did not have any flashing lights; was 10x brighter than the N. Star.,05/18/2019,N,,https://nuforc.org/sighting/?id=146203
146185,05/19/2019 21:32,La Porte,IN,USA,Circle,UFOs Spotted  05/2019..  Color changed suspended in Air,05/19/2019,N,,https://nuforc.org/sighting/?id=146185
146285,05/19/2019 21:18,Hauula,HI,USA,Light,"Bright white light traveling slowly upwards with twinkles of multiple colors of the light spectrum, red, orange, yellow, green, blue, v",05/25/2019,N,,https://nuforc.org/sighting/?id=146285
146180,05/19/2019 21:10,Bradenton,FL,USA,Sphere,7 orange spheres flying in formation.,05/20/2019,N,,https://nuforc.org/sighting/?id=146180
151591,05/19/2019 15:00,Tucson,AZ,USA,Sphere,"We were driving north on Irvington rd. It was a cloudy day, I just happened to look up and in between the clouds I sat a small sphere o",12/12/2019,N,,https://nuforc.org/sighting/?id=151591
163229,05/19/2019 15:00,Forestdale,RI,USA,Sphere,Was standing in my back yard taking pictures of birds and happened to look up and see a semi transparent white sphere moving silently a,05/16/2021,N,,https://nuforc.org/sighting/?id=163229
148960,05/19/2019 15:00,Laveen,AZ,USA,Disk,Ufo caught in slow motion nfacing South Moutain in Arizona.  ((anonymous report))((NUFORC Note:  No photo received here.  PD)),09/19/2019,N,,https://nuforc.org/sighting/?id=148960
146659,05/19/2019 14:50,St. Louis (city),MO,USA,Disk,"White UFO not seen by naked eye, but captured in camera",06/05/2019,N,,https://nuforc.org/sighting/?id=146659
146147,05/19/2019 14:16,Alexandria,VA,USA,,MADAR Node 141,05/22/2019,N,,https://nuforc.org/sighting/?id=146147
